indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	RAF	remarque
292	342	2	If you wish to continue along the avenue	Si vous souhaitez continuer sur l'avenue	continuer sur l'avenue	22	k	
293	343	2	If you wish to steer the Itikar south towards the Dahir Pass	Si vous souhaitez diriger le Itikar sud vers le col dahir	voler vers le sud (passage du Dahir)	36	k	
294	343	2	If you wish to head east towards the town of Chula	Si vous souhaitez diriger vers l'est vers la ville de Chula	voler vers l'est (ville de Chula)	33	k	
295	344	2	If you possess some Oede herb and wish to give it to the poor vaxeler	Si vous possédez une herbe Oede et que vous souhaitez donner aux pauvres vaxeler	donner de l'herbe aux lépreux	29	k	
296	344	2	If you do not have any Oede herb, or if you do not wish to give it to this unfortunate wretch, flee the cave and	Si vous n'avez pas herbe Oede, ou si vous ne voulez pas donner à ce malheureux, fuyez la grotte et	sortir de la grotte	19	k	
297	345	2	If you wish to escape through the arch	Si vous souhaitez échapper à travers l'arc	s'échapper par l'arche	22	k	
298	345	2	If you wish to race up the stairs	Si vous souhaitez courir dans les escaliers	grimper l'escalier	18	k	
301	351	2	If you wish to approach her and ask where Tipasa the Wanderer may be found	Si vous souhaitez l'approcher et demander où le Wanderer Tipasa se trouve	lui demander où trouver Tipasa	30	k	
302	351	2	If you wish to leave the tavern and continue along the street	Si vous souhaitez quitter la taverne et continuez le long de la rue	sortir et continuer notre chemin	32	k	
306	357	3	If you win the combat and decide to search the sentry’s body	Si vous gagnez le combat et décident de rechercher le corps de la sentinelle	fouiller le corps de la sentinelle	34	k	
307	357	3	If you win but decide to ignore the body and hurry into the Itikar’s pen	Si vous gagnez, mais décidez d'ignorer le corps et pressé dans la plume du Itikar	gagner l'enclos de l'Itikar	27	k	dans le bouquin que : 236 ; 357 ; 389 ; 398 (ok dans fichier)
308	358	3	If you wish to continue along the Avenue of Eagles	Si vous souhaitez continuer sur l'avenue des Aigles	continuer sur l'avenue des Aigles	33	k	
309	358	3	If you decide to retrace your steps to the Eagle Square, you can either go north towards the Dougga Market	Si vous décidez de revenir sur vos pas à la place Eagle, vous pouvez aller vers le nord vers le marché Dougga	aller au nord vers le marché aux Douggas	40	k	
310	358	3	Or west towards the Main Square	Ou à l'ouest vers la place principale	allez à l'ouest vers la Grand-Place	35	k	
313	362	2	If you wish to purchase a cup of the delicious beverage	Si vous souhaitez acheter une tasse de la boisson délicieuse	s'offrir une tasse de Jala	26	k	
314	362	2	If you not wish to purchase a cup of jala or do not have any gold, you must bid farewell and leave the eating-house	Si vous ne souhaitez pas acheter une tasse de Jala ou ne pas l'or, vous devez dire au revoir et quitter la maison de manger	quitter l'auberge	17	k	
316	363	3	If you do not possess this skill, you can either climb the stairs to the small portal by	Si vous ne possédez pas cette compétence, vous pouvez monter les escaliers au petit portail par	monter l'escalier vers le portail	33	k	
317	363	3	Or follow the winding path into the trees	Ou suivre le chemin sinueux dans les arbres	suivre le sentier sinueux	25	k	
318	365	2	If you wish to enter his home	Si vous souhaitez entrer dans sa maison	entrer dans sa maison	21	k	
319	365	2	If you decide to press on towards Ikaresh	Si vous décidez de presse vers Ikaresh	poursuivre vers Ikaresh	23	k	
320	367	2	If you wish to follow the sign	Si vous souhaitez suivre le panneau	suivre la flèche	16	k	
321	367	2	If you wish to go back to the fork and take the other street	Si vous souhaitez revenir à la fourchette et prendre l'autre rue	retourner prendre l'autre rue	29	k	
322	368	2	If you wish cross the bridge and enter the tower	Si vous souhaitez traverser le pont et entrez dans la tour	entrer dans la tour par le pont	31	k	
323	368	2	If you decide to descend the stair that leads to the garden below	Si vous décidez de descendre l'escalier qui mène au jardin ci-dessous	enter dans le jardin par l'escalier	35	k	
326	374	2	If you wish to help the dwarf	Si vous souhaitez aider le nain	aider le nain	13	k	
327	374	2	If you wish to leap from the outrigger onto the platform	Si vous souhaitez sauter de la plate-forme Outrigger sur la	sauter sur la plate-forme	25	k	
328	376	2	If you wish to enter the tavern	Si vous souhaitez entrer dans la taverne	entrer dans la taverne	22	k	
329	376	2	If you wish to continue along the street towards the Dougga Market	Si vous souhaitez continuer dans la rue vers le marché Dougga	continuer vers le marché aux Douggas	36	k	
334	383	2	If you wish to investigate the cave	Si vous souhaitez étudier la grotte	explorer la grotte	18	k	
335	383	2	If you wish to press on towards Ikaresh	Si vous souhaitez appuyer sur vers Ikaresh	poursuivre vers Ikaresh	23	k	
337	386	3	If you wish to enter the alley and knock at the door	Si vous souhaitez entrer dans l'allée frapper à la porte	aller frapper à la porte bleue	30	k	
338	386	3	If you wish to continue along the street	Si vous souhaitez continuer dans la rue	continuer dans la rue	21	k	
339	387	2	If you wish to jump	Si vous souhaitez sauter	sauter pour échapper le combat	30	k	
341	388	2	If you wish to take the left street	Si vous souhaitez prendre la rue à gauche	prendre la rue à gauche	23	k	
342	388	2	If you wish to take the right street	Si vous souhaitez prendre la rue à droite	prendre la rue à droite	23	k	
343	389	2	If you win the combat and wish to search the sentry’s body	Si vous gagnez le combat et désir de rechercher le corps de la sentinelle	fouiller le corps de la sentinelle	34	k	
344	389	2	If you wish to ignore the body and hurry into the Itikar’s pen	Si vous souhaitez ignorer le corps et pressé dans la plume du Itikar	gagner l'enclos de l'Itikar	27	k	dans le bouquin que : 236 ; 357 ; 389 ; 398 (ok dans fichier)
345	39	2	If you wish to continue questioning him	Si vous souhaitez continuer à l'interroger	continuer à l'interroger	24	k	
346	39	2	If you decide to kill him	Si vous décidez de le tuer	le tuer	7	k	
349	393	2	If you wish to evade combat	Si vous souhaitez échapper à un combat	fuir le combat	14	k	
355	396	3	If you wish to ascend the spiral stairs	Si vous souhaitez monter les escaliers en spirale	monter l'escalier	17	k	
356	396	3	If you wish to descend the spiral stairs	Si vous souhaitez descendre l'escalier en spirale	descendre l'escalier	20	k	
357	397	2	If you wish to ask her if she is Soushilla only if you have heard that name before	Si vous souhaitez lui demander si elle est Soushilla que si vous avez entendu ce nom avant	lui demander si elle est Soushilla	34	k	
358	397	2	If you wish to ask her if she knows where Tipasa the Wanderer can be found	Si vous souhaitez lui demander si elle sait où le Wanderer Tipasa se trouve	lui demander où trouver Tipasa	30	k	
359	398	2	If you wish to search the body of the sleeping guard	Si vous souhaitez rechercher le corps de la garde du sommeil	fouiller le garde endormi	25	k	
360	398	2	If you wish to ignore the guard and rush into the Itikar pen	Si vous souhaitez ignorer la garde et se précipitent dans le stylo Itikar	gagner l'enclos de l'Itikar	27	k	dans le bouquin que : 236 ; 357 ; 389 ; 398 (ok dans fichier)
363	41	2	If you now decide to rub some of the oil into your skin	Si vous décidez maintenant de se frotter de l'huile dans votre peau	se frotter la peau avec de l'huile	34	k	
364	41	2	If you decide to forget the vile-tasting oil completely	Si vous décidez d'oublier l'huile au goût immonde complètement	ne pas utiliser l'huile	23	k	
365	42	2	If you decide to go through the gate	Si vous décidez de passer par la porte	passer par la porte	19	k	
366	42	2	If you decide to take the path	Si vous décidez de prendre le chemin	prendre la rue pavée	20	k	
367	43	2	If you wish to search for a hidden exit	Si vous souhaitez rechercher une sortie cachée	rechercher une issue dérobée	28	k	
368	43	2	If you wish to prepare yourself for combat	Si vous souhaitez vous préparer au combat	se préparer au combat	21	k	
369	44	2	If you wish to examine the book	Si vous souhaitez examiner le livre	feuilleter le livre	19	k	
370	44	2	If you wish to ignore the book and search for your confiscated equipment instead	Si vous souhaitez ignorer le livre et la recherche de votre matériel confisqué à la place	rechercher notre équipement confisqué	37	k	
371	45	2	If you wish to attack the guard	Si vous souhaitez attaquer la garde	éliminer le garde	17	k	
372	45	2	If you wish simply to overpower him and capture him alive	Si vous souhaitez simplement lui maîtriser et le capturer vivant	le neutraliser	14	k	
373	47	2	If you wish to continue along the west tunnel	Si vous souhaitez continuer le long du tunnel ouest	continuer par le tunnel ouest	29	k	
374	47	2	If you wish to go south along the new tunnel	Si vous souhaitez aller vers le sud le long du nouveau tunnel	prendre le tunnel sud	21	k	
376	51	4	If you wish to enter the left channel	Si vous souhaitez entrer dans le canal gauche	entrer dans le tunnel de gauche	31	k	
377	51	4	If you wish to enter the right channel	Si vous souhaitez entrer dans le canal droit	entrer dans le tunnel de droite	31	k	
378	51	4	If you wish to enter the channel straight ahead	Si vous souhaitez entrer en ligne droite le canal	entrer dans le tunnel en face	29	k	
379	53	2	If you wish to enter the dwelling	Si vous souhaitez pénétrer dans le logement	entrer dans le monastère	24	k	
380	53	2	If you decide to enter the tavern instead	Si vous décidez d'entrer dans la taverne à la place	entrer dans la taverne	22	k	
381	54	3	If you need the Oede herb	Si vous avez besoin de l'herbe Oede	se procurer de l'herbe d'Oede	29	k	
382	54	3	If you do not need this herb, but still decide to enter the shop	Si vous n'avez pas besoin cette herbe, mais toujours décider d'entrer dans la boutique	entrer dans le magasin quand même	33	k	
383	54	3	If you wish to continue along in a new alleyway that heads off towards the Grand Palace	Si vous souhaitez continuer le long dans une nouvelle ruelle, qui se dirige vers le Grand Palais	continuer vers le Grand Palais	30	k	
384	55	2	If you wish to climb the left chimney	Si vous souhaitez monter la cheminée gauche	monter par le conduit de gauche	31	k	
385	55	2	If you wish to climb the right chimney	Si vous souhaitez monter la cheminée droite	monter par le conduit de droite	31	k	
388	59	2	If you wish to pick up the sword	Si vous souhaitez prendre l'épée	ramasser l'épée	15	k	
389	59	2	If you wish to ignore the sword and attack the second guard with your bare hands	Si vous souhaitez ignorer l'épée et attaquer la deuxième garde à mains nues	se battre à mains nues	22	k	
390	6	2	If you choose to rub the larnuma oil into your skin	Si vous choisissez de frotter l'huile de larnuma dans votre peau	se frotter la peau avec l'huile de Larnuma	42	k	
391	6	2	If you decide not to use the oil	Si vous décidez de ne pas utiliser l'huile	ne pas utiliser l'huile	23	k	
392	63	2	If you wish to search the bodies of the dead guards	Si vous souhaitez rechercher les corps des gardes morts	fouiller le corps des gardes	28	k	
393	63	2	If you wish to ignore the bodies and escape along the corridor	Si vous souhaitez ignorer les corps et échapper le long du corridor	s'enfuir par le couloir	23	k	
394	65	2	If you wish to attack the guard	Si vous souhaitez attaquer la garde	achever le garde	16	k	
395	65	2	If you wish simply to overpower him and capture him alive	Si vous souhaitez simplement lui maîtriser et le capturer vivant	le maîtriser	12	k	
396	66	2	If you wish to jump back into the palace gardens and try to enter the palace through the Zakhan’s trophy room	Si vous souhaitez revenir en arrière dans les jardins du palais et essayer d'entrer dans le palais par la salle des trophées du Zakhan	passer par les jardins et la chambre des trophées	49	k	
397	66	2	If you wish to launch a surprise attack on the seated guards, before they notice you are there	Si vous souhaitez lancer une attaque surprise sur les gardes assis, avant qu'ils ne remarquent que vous êtes là	attaquer les gardes par surprise	32	k	
398	68	2	If you wish to examine the potions	Si vous souhaitez examiner les potions	examiner les potions	20	k	
399	68	2	If you decide to ignore them, leave the shop and continue along the alley	Si vous décidez de les ignorer, quitter la boutique et continuer le long de l'allée	les ignorer et reprendre notre chemin	37	k	
400	69	2	If you wish to attack the guards as soon as the door opens	Si vous souhaitez attaquer les gardes dès que la porte ouvre	attaquer dès que la porte s'ouvre	33	k	
401	69	2	If you wish to move away from the door and stand in the middle of the cell	Si vous souhaitez déplacer loin de la porte et se tenir au milieu de la cellule	se placer au centre de la cellule	33	k	
402	70	2	If you wish to climb the steps	Si vous souhaitez gravir les marches	monter l'escalier	17	k	
403	70	2	If you wish to wait here and fight your pursuers	Si vous souhaitez attendre ici et combattre vos poursuivants	attendre pour combattre	23	k	
404	72	2	If you wish to fight them	Si vous souhaitez les combattre	les affronter	13	k	
405	72	2	If you wish to surrender	Si vous souhaitez de se rendre	se rendre	9	k	
406	74	2	If you wish to go through the west door	Si vous souhaitez passer par la porte ouest	entrer dans l'armurerie	23	k	
407	74	2	If you wish to avoid the armoury, leave the chamber by the north door and	Si vous souhaitez éviter la salle d'armes, laissez la chambre par la porte nord et	éviter l'armurerie par la porte nord	36	k	
408	75	3	If you wish to enter	Si vous souhaitez entrer	entrer	6	k	
409	75	3	If you wish to refuse and climb the path towards the archway	Si vous souhaitez refuser et monter le chemin vers la voûte	remonter la rue vers le porche	30	k	
410	75	3	If you wish to enter the alley	Si vous souhaitez entrer dans l'allée	emprunter l'allée	17	k	
411	78	2	If you wish to leave the bodies and escape along the corridor	Si vous souhaitez laisser les corps et échapper le long du corridor	fuir sans fouiller les corps	28	k	
412	78	2	If you wish to search them	Si vous souhaitez les chercher	les fouiller	12	k	
414	79	3	If you decide to attempt to sneak past the drinking guards	Si vous décidez de tenter de se faufiler devant les gardes de boire	se faufiler derrière les gardes	31	k	
415	79	3	If you decide to attack them while their backs are turned	Si vous décidez de les attaquer pendant que leurs dos tourné	les attaquer dans le dos	24	k	
416	8	2	If you decide to choose sixty-seven	Si vous décidez de choisir soixante-sept	choisir 67	10	k	
417	8	2	If you decide to choose seventy-six	Si vous décidez de choisir soixante-seize	choisir 76	10	k	
418	85	2	If you wish to attack the guard who holds the sword	Si vous souhaitez attaquer la garde qui tient l'épée	attaquer le garde qui tient l'épée	34	k	
419	85	2	If you do not wish to attack	Si vous ne souhaitez pas attaquer	s'abstenir	10	k	
423	90	4	If you wish to swallow some of the purple oil	Si vous souhaitez avaler une partie de l'huile pourpre	goûter l'huile violette	23	k	
424	90	4	If you wish to rub some into your skin	Si vous souhaitez frotter un peu dans votre peau	s'en enduire la peau	20	k	
425	90	4	If you decide to ignore the oil	Si vous décidez d'ignorer l'huile	ne pas utiliser l'huile	23	k	
428	93	2	If you wish to climb onto the table and look through the window	Si vous souhaitez monter sur la table et regarder par la fenêtre	regarder par la fenêtre	23	k	
429	93	2	If you wish to press on along the corridor	Si vous souhaitez appuyer sur le long du corridor	poursuivre le long du couloir	29	k	
432	96	2	If you wish to head west	Si vous souhaitez diriger vers l'ouest	se diriger vers l'ouest	23	k	
433	96	2	If you wish to continue south	Si vous souhaitez continuer vers le sud	continuer vers le sud	21	k	
434	97	2	If you wish to attack the Yas	Si vous souhaitez attaquer le Yas	attaquer le Yas	15	k	
435	97	2	If you wish to flick shut the lid and leave the armoury by the north door	Si vous souhaitez fermer chiquenaude le couvercle et laissez le manège militaire par la porte du Nord	quitter l'armurerie par la porte nord	37	k	
436	98	2	If you wish to attack them before the firer can reload his blowpipe	Si vous souhaitez les attaquer avant que le tireur peut recharger son sarbacane	attaquer avant qu'il ne recharge	32	k	
437	98	2	If you do not want to attack them and decide to try to dodge the second blowpipe dart	Si vous ne voulez pas les attaquer et décider d'essayer d'esquiver la deuxième fléchette de sarbacane	attendre et esquiver le 2nd tir	31	k	
438	99	2	If you wish to fight	Si vous souhaitez combattre	combattre	9	k	
439	99	2	If you decide to surrender	Si vous décidez de se rendre	se rendre	9	k	
